"Data Source","World Development Indicators",

"Last Updated Date","2019-12-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Bermuda","BMU","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","77.9080505371094","75.6748275756836","","","","","88.6310882568359","89.7164306640625","","","","","","","","","","","","","","","","","","","","","","","","","","96.95572","90.61033","","","","","","","",
"Bolivia","BOL","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.39625","94.61022","92.09501","88.4507","87.76541","87.58961","88.35634","89.64301","91.29061","","",
"Brazil","BRA","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.51398","","","93.70571","","97.53301","","95.40211","99.27482","97.84479","97.61097","97.04205","","","","",
"Barbados","BRB","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","85.5329895019531","86.8911437988281","88.4706878662109","","","98.1550521850586","","","","","95.3061676025391","93.1926116943359","93.3650512695313","","","","","","99.7781982421875","96.6484527587891","","89.2210693359375","","","","","","","","95.57721","94.48545","91.80328","91.37727","89.8235","90.23835","91.87339","95.62326","99.07809","97.94719","95.71802","93.92116","","","94.08999","96.28692","98.55599","95.78701","97.52594","",
"Brunei Darussalam","BRN","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","88.5623779296875","88.9685134887695","79.5381164550781","79.2835388183594","76.5604705810547","75.0299224853516","76.3952713012695","77.2796096801758","","80.1604385375977","","","","","89.078742980957","91.8218612670898","95.4646682739258","95.2131576538086","98.143440246582","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","13.2390899658203","15.5916404724121","","","","","","","","","","","","","","","","","","","50.2288589477539","51.5456199645996","54.78779","57.79673","","","","70.34667","74.82616","","81.56659","86.52828","89.16829","90.50276","92.8337","92.17162","","91.41402","90.67862","90.30842","90.79405","",
"Botswana","BWA","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","53.122631072998","49.5622100830078","51.34130859375","54.8869514465332","59.5358581542969","67.1124572753906","71.9273986816406","76.2395324707031","76.7865219116211","78.2375717163086","82.6534881591797","87.013557434082","","91.6620635986328","92.0741729736328","93.9557723999023","93.8672103881836","94.3179016113281","94.7576675415039","94.9182815551758","94.9985504150391","97.2760467529297","96.2271728515625","95.3829498291016","95.1835708618164","85.2820434570313","85.6000289916992","","88.2543182373047","87.0678482055664","88.00626","89.33542","89.21249","89.34899","88.67804","89.3522","89.87073","89.53966","87.16181","86.38464","","","89.27674","","","","","","","",
"Central African Republic","CAF","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","34.2688484191895","36.3803901672363","38.973560333252","","","","38.0818290710449","37.8499488830566","","","42.2307014465332","43.1201210021973","42.5048484802246","","","50.4996681213379","41.3350715637207","39.8789901733398","40.2910308837891","47.6066093444824","44.4110908508301","","","","","","","","","","","","","","40.45361","40.4587","46.82997","55.09119","55.11041","","56.00476","","","","","","","","",
"Canada","CAN","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","95.9595565795898","95.4971618652344","94.8515625","94.8299331665039","95.239143371582","95.2501373291016","95.2768173217773","94.9207534790039","96.0840377807617","98.1120223999023","97.8798675537109","95.8604965209961","94.9143218994141","94.1007232666016","95.006462097168","","99.1077575683594","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.2934875488281","93.6364593505859","94.390739440918","93.1603088378906","93.7098770141602","93.5627975463867","93.3178024291992","93.1881637573242","92.9624481201172","92.9860229492188","94.6316528320313","94.5915222167969","94.6969833374023","94.94744","94.80817","94.86447","94.16652","93.62315","93.73264","93.36149","93.12443","91.67749","",
"Switzerland","CHE","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","76.9348983764648","77.4017333984375","","","77.9208221435547","77.7951126098633","77.5952224731445","77.1735916137695","77.0176162719727","77.388069152832","78.6848831176758","80.4537734985352","82.3271713256836","84.0453872680664","84.9129028320313","84.9769515991211","84.4380493164063","83.6851272583008","88.9561080932617","91.017448425293","","","","","","","","","","","","","","99.59231","99.78332","99.86111","","","","","","","",
"Channel Islands","CHI","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.17487","95.62984","94.32579","95.52824","94.77191","94.51068","93.73422","93.47307","93.49292","94.09142","94.79262","","",
"China","CHN","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.8618087768555","","92.4420776367188","","93.8272933959961","93.1531372070313","92.2411117553711","90.8930587768555","89.553092956543","88.6797790527344","88.3705978393555","","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","39.3827590942383","","","","","","","","","","","","","","","","","","","46.8227005004883","47.6915702819824","","49.4540100097656","47.86024","51.94523","51.1883","49.87982","","","","","","50.48391","","","","65.35666","68.26229","72.05407","82.34393","84.7071","89.7329","",
"Cameroon","CMR","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","56.277660369873","56.3932304382324","54.802791595459","53.939281463623","59.735668182373","61.461841583252","60.5942802429199","61.7639083862305","62.9934310913086","63.3703994750977","","","","","","","","68.9232406616211","","68.1545104980469","66.473747253418","","","","","","","","","","","","","","","","","","","","82.91874","","","","","90.25242","","","",
"Congo, Dem. Rep.","COD","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","54.2901802062988","53.4678802490234","","","57.7770805358887","","","","60.1121788024902","","","","64.1960601806641","65.4172821044922","","","","56.487548828125","","","54.0767517089844","53.1399002075195","52.4801216125488","52.6468391418457","55.9553108215332","","","","35.8859786987305","","","","","","","","","","","","","","","","","","","","",
"Congo, Rep.","COG","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","76.4933166503906","","82.8525238037109","","87.3263473510742","","92.0896224975586","92.6237564086914","86.0684204101563","85.1561431884766","86.0102691650391","86.9558029174805","87.7599563598633","","","","","","","","","","","","","","","","","","","","","56.45804","52.4217","","","","84.61883","","93.13751","","","","","","","",
"Colombia","COL","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","69.058723449707","","","","","77.0131072998047","","","","","","","","97.0580062866211","96.85771","91.65179","92.35925","","95.0468","","","","","","","","95.12067","92.99698","93.22195","96.60999","95.90338","97.75212","98.24626","",
"Comoros","COM","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.5984115600586","","","","","","","62.2960891723633","","","","","56.2346000671387","62.13601","","","","","","","76.25053","","","","","","84.37104","81.28183","","","83.59432","","",
"Cabo Verde","CPV","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","88.8097686767578","86.8936920166016","83.4150314331055","91.2330474853516","93.8838272094727","95.4233093261719","97.2359390258789","","","","","","","","","","","","","","97.414","96.70483","96.07194","95.44915","96.04625","96.9451","96.85466","95.67871","94.6537","93.92161","92.24222","92.6915","92.48289","92.42673","92.65396","91.85233","92.1013","92.64976","",
"Costa Rica","CRI","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","84.9404525756836","","87.5922775268555","88.7583618164063","","90.5616836547852","92.8098602294922","","91.3836212158203","89.9590301513672","89.9631195068359","90.2477569580078","88.5447235107422","","","85.5482864379883","86.6367416381836","86.7253723144531","","86.9091415405273","87.0186386108398","87.6416931152344","","","","","","","","","","","","","","","","","","","","","","99.11983","97.21948","97.73134","98.41674","96.52241","","",
"Caribbean small states","CSS","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.3506317138672","92.582389831543","91.9265518188477","90.7535400390625","90.4591674804688","91.7111206054688","91.3073272705078","91.0173110961914","91.2891464233398","91.7448120117188","91.0001907348633","91.4823","91.92491","91.70234","91.11903","91.19897","92.31195","90.74128","89.55856","89.1015","",
"Cuba","CUB","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","93.5355377197266","94.4192962646484","95.0947113037109","","","","","","96.3688507080078","94.4183883666992","93.2883911132813","93.0822830200195","92.1089019775391","90.0503234863281","90.2941818237305","91.7372207641602","91.3678588867188","91.6770324707031","91.8955917358398","91.7190399169922","94.2408981323242","95.0309371948242","97.2466430664063","97.1426696777344","98.5506591796875","98.2395324707031","98.3770523071289","99.0143814086914","99.14523","","","98.33851","97.71117","97.05842","96.50009","96.5967","96.58432","98.18851","98.79176","98.49063","97.93168","97.86033","95.17437","93.97633","94.44392","95.5269","97.65977","",
"Curacao","CUW","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","79.5735321044922","78.2151794433594","78.0401229858398","77.0883483886719","70.990852355957","68.7758712768555","68.1134719848633","69.0189971923828","69.9955291748047","69.2174224853516","71.5178375244141","68.4354400634766","68.0551605224609","68.0988311767578","68.9519729614258","73.5029678344727","77.4868316650391","78.7601623535156","78.9524307250977","78.7804107666016","79.1507110595703","77.1992111206055","97.6688079833984","96.7790603637695","96.1314697265625","95.8571701049805","96.3760299682617","","","98.40497","97.81676","98.78087","98.8198","98.69436","","","","","","","","98.3456","97.93305","97.79261","98.15911","","","","",
"Czech Republic","CZE","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.15596","89.69973","89.33868","89.49493","","","","","",
"Germany","DEU","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.80549","99.74678","","","","","","","","","","99.85964","99.40876","","","","","",
"Djibouti","DJI","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","21.5455703735352","22.5253391265869","22.4055194854736","22.5391006469727","22.8225002288818","23.5897808074951","","24.3723201751709","23.0643501281738","23.8738994598389","24.9062595367432","24.4426593780518","23.4940299987793","","22.6862506866455","23.38959","25.78145","27.31451","","31.16085","","36.03817","41.18273","46.91447","48.06544","","60.67932","","61.12784","69.11964","63.10016","59.49485","62.02095","62.90327","67.01807",
"Dominica","DMA","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","93.4327621459961","94.5482482910156","","90.2323684692383","87.0708389282227","88.9597473144531","88.2927627563477","","","","","","","","","","","","","","","","","","","95.38017","95.67691","93.95031","91.6088","89.34475","88.90277","83.13332","83.89169","93.08009","","","","","","","","","","",
"Denmark","DNK","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","95.5928573608398","96.4015731811523","98.1575317382813","98.9284286499023","99.0256271362305","98.6275100708008","98.9878997802734","99.1507186889648","97.9483489990234","97.8412322998047","98.3161697387695","97.3374786376953","96.8325805664063","98.57861328125","98.4474716186523","98.0898971557617","","","","","","","","98.85243","96.81633","97.28118","97.86368","97.69505","97.59002","97.35466","98.3422","98.75794","99.0475","98.73444","98.95893","","","","",
"Dominican Republic","DOM","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.6534118652344","86.67423","","90.64583","87.19125","85.51944","86.93602","85.78473","90.94132","87.3521","","92.11449","93.52514","92.63183","92.7051","91.12181","95.04055","95.17579","94.47021","","",
"Algeria","DZA","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","55.7911682128906","59.1606483459473","61.624568939209","63.8337097167969","66.0259323120117","67.7182922363281","68.4216003417969","69.7612991333008","70.3168716430664","70.3016815185547","70.1533126831055","71.4291381835938","72.3157806396484","74.0633087158203","75.810188293457","77.2505798339844","78.6911926269531","79.5259094238281","81.6206512451172","83.1785507202148","83.2643966674805","83.7962417602539","84.3923263549805","84.4328079223633","84.2973480224609","","88.1086883544922","89.12297","91.21017","92.62485","93.235","94.01596","94.32878","94.53214","94.94972","96.48156","","","","","","","","","","","",
